2022-01-07 17:45:22||Я уже тут$
2022-01-07 17:30:52|Вы|Оке$
2022-01-07 17:30:33||Крч скажешь что там хавать$
2022-01-07 17:30:11|Вы|Мясом вроде я не был еще там$
2022-01-07 17:29:56||Макароны с чем ?$
2022-01-07 17:29:46|Вы|Сегодня каша и макароны$
2022-01-07 17:29:08||В столовке вечером$
2022-01-07 17:29:03||Шо жрать дают$
2021-12-25 10:26:28|Вы|Привет Я в дороге что ты хотел ?$
2021-12-25 07:43:02|| $
2021-12-25 07:39:19||Братан ответь срочно$
2021-12-25 07:35:02||Ты тут ?$
2021-12-25 07:34:44||Здарова$
2021-12-03 16:46:50||Понял$
2021-12-03 16:46:38|Вы|Привет вроде 6 но насколько правда не понятно$
2021-12-03 16:44:46||Не слышно бабки должны какие-то прийти ?$
2021-12-03 16:44:36||Здарова$
2021-11-27 19:41:54||Он занимаюсь$
2021-11-27 19:41:36||Да нормально$
2021-11-27 19:41:21|Вы|А ты как выздоровел уже ?$
2021-11-27 19:40:35||😂😂😂$
2021-11-27 19:13:05|Вы|Привет как у всех бомжую$
2021-11-27 18:13:52||Как дела$
2021-11-27 18:13:49||Здарова$
2021-07-18 15:12:54|Вы||./img/56692.png$
2021-07-18 15:12:54|Вы||./img/56691.png$
2020-10-17 11:32:11|Вы| $
2020-10-17 10:38:50|Вы| $
2020-10-16 09:36:42|Вы|Автобус фиолетовый большой$
2020-10-16 09:36:37||Жду$
2020-10-16 09:36:17|Вы|Я на лузановке уже$
2020-10-16 09:35:26|Вы|Звонили с килии как чувствуют$
2020-10-16 08:44:52|Вы|Возьми ремень мой$
2020-10-16 08:19:19|Вы|Перезвони$
2020-10-16 08:18:46|Вы| $
2020-10-12 11:55:41|Вы| $
2020-10-10 18:15:00|Вы|Приеду в пн выпишусь у вам$
2020-10-10 18:14:53|Вы|Куда$
2020-10-10 18:14:51|Вы|В четверг скажут когда именно$
2020-10-10 18:14:39|Вы|Я ухожу в армию$
2020-10-10 18:14:35|Вы|Привет$
2020-09-27 18:00:05|Вы| $
2020-09-27 17:30:57|Вы|Тут$
2020-09-27 17:30:52||Привет$
2020-09-27 17:22:02|Вы|Привет$
2020-09-27 17:18:07|Вы| $
2020-09-27 17:16:56|Вы|Привет$
2020-09-11 10:40:18|Вы||./img/14141.png$
2020-09-11 10:40:07|Вы||./img/14140.png$
2021-07-17 17:23:36|Вы|АК 12?$
2021-07-17 16:34:29||Шо вони роблять о.о$
2021-07-17 16:34:23||Золотий калаш за 4к кред$
2021-07-17 16:34:13||Зайшов зараз в вф$
2021-07-17 16:24:15|Вы| $
2021-07-17 12:33:21||Ну коротше зробимо(!)Сподіваюсь вистрілить$
2021-07-17 12:33:09||Також на юніті робили(!)Вона коштувала 10$(!)Але скачувань 100+к$
2021-07-17 12:23:47|Вы|)$
2021-07-17 12:04:48||Ферма слаймов$
2021-07-17 12:04:42||Також на юніті$
2021-07-17 12:04:39||Глянь слаймранчер$
2021-07-17 11:55:36|Вы|А твои мылси$
2021-07-17 11:55:12||Я на будь що підпишусь братан (!)Що принесе гроші$
2021-07-17 11:50:57|Вы|Сдалть все же бус хочешь ты ?$
2021-07-17 11:50:16||Або для консолі$
2021-07-17 11:50:11||Якщо тільки щось мобільне зробити$
2021-07-17 11:50:01||Зробимо, а далі подивимось$
2021-07-17 11:49:21|Вы|Ну да ты прав есть такое что тогда предлагаешь ?$
2021-07-17 10:53:41|Вы|Ага$
2021-07-17 10:52:23||https://www.youtube.com/watch?v=_O8pyZ5sP6U|./img/54798.png$
2021-07-17 10:52:14||https://www.youtube.com/watch?v=-_pNTLz-oTk|./img/54797.png$
2021-07-17 10:52:04||https://www.youtube.com/watch?v=SsluEA6RTRw|./img/54796.png$
2021-07-17 10:51:53|Вы|А что есть ?$
2021-07-17 10:51:35||ну автобуснік принайні(!)я просто дивився ідеї(!)і бачу багато реалізацій(!)так(!)не такі фішні як в нас(!)але все одно таке є(!)і зараз не дуже популярне$
2021-07-17 10:50:51|Вы|Какая ?$
2021-07-17 10:46:52||просто сама ідея ахуєнна(!)але таке вже є на ринку(!)і доволі багато(!)я за це трошки хвилююсь$
2021-07-17 10:46:32||а ти певний що ця ідея вистрілить ?$
2021-07-17 10:46:25||слухай братан$
2021-07-17 10:27:22||так братан$
2021-07-17 10:25:46|Вы|Пашет?$
2021-07-17 10:24:33||веб версія$
2021-07-17 10:23:06|Вы|Скачал ?$
2021-07-17 10:22:28||буду розбиратись$
2021-07-17 10:22:24||знайшов документацію$
2021-07-17 10:04:51|Вы| $
2021-07-17 09:59:28|Вы|Подходит они то что нужно как для рп так и для всего$
2021-07-17 09:58:31||ну анімація це завжди дорого братан($
2021-07-17 09:53:42||Ну багато що робили$
2021-07-17 09:53:20||https://pers3d.ru/портфолио/3d-анимация|./img/54740.png$
2021-07-17 09:53:02||https://pers3d.ru/портфолио|./img/54737.png$
2021-07-17 09:52:46|Вы|Портфолио хорошее ?$
2021-07-17 09:52:34||та, студія$
2021-07-17 09:52:21|Вы|Это какие то профи парни ?$
2021-07-17 09:52:03||1.5-2 і зациклюється потім$
2021-07-17 09:51:52||Можна ще на фрілансханті(!)Буде дешевше$
2021-07-17 09:51:37|Вы|А сколько в среднем секунд в шаге?$
2021-07-17 09:51:12||Рублі за секунду$
2021-07-17 09:50:51|Вы|Что такое РД?$
2021-07-17 09:50:03|||./img/54709.png$
